Foreign State;Immediate Relatives;Special Immigrants;Family Preference;Employment Preference;Immigrants;Total
Afghanistan;771;10087;563;17;687;12125
Albania;1291;10;1706;169;2047;5223
Algeria;316;29;190;49;2380;2964
Andorra;1;0;0;0;0;1
Angola;19;0;18;8;291;336
Antigua and Barbuda;52;3;45;7;0;107
Argentina;337;16;208;254;92;907
Armenia;595;12;527;116;1282;2532
Australia;191;70;80;40;375;756
Austria;46;7;5;11;18;87
Azerbaijan;102;0;68;62;713;945
Bahamas, The;102;0;37;51;9;199
Bahrain;23;0;6;8;4;41
Bangladesh;6283;222;2645;220;0;9370
Barbados;50;7;51;6;0;114
Belarus;138;5;171;51;852;1217
Belgium;54;5;5;19;16;99
Belize;113;2;75;12;0;202
Benin;185;0;154;10;264;613
Bhutan;26;0;0;9;76;111
Bolivia;289;3;315;36;28;671
Bosnia and Herzegovina;77;1;82;17;61;238
Botswana;11;2;3;2;4;22
Brazil;2386;55;1156;2637;0;6234
Brunei;2;1;2;6;1;12
Bulgaria;222;46;182;33;142;625
Burkina Faso;127;1;91;15;43;277
Burma;411;15;270;76;419;1191
Burundi;75;0;21;13;140;249
Cabo Verde;493;8;371;20;0;892
Cambodia;1285;19;1243;187;166;2900
Cameroon;1240;11;1272;54;1703;4280
Canada;1239;4;387;342;0;1972
Central African Republic;6;1;2;3;7;19
Chad;16;1;7;0;136;160
Chile;166;8;79;41;10;304
China - mainland born;5467;103;7600;8938;0;22108
Colombia;3741;93;4824;231;0;8889
Comoros;0;0;0;0;0;0
Congo, Dem. Rep. of the;400;11;627;26;898;1962
Congo, Rep. of the;44;2;11;60;136;253
Costa Rica;395;6;284;28;3;716
Cote d'Ivoire;341;4;265;8;375;993
Croatia;35;3;7;10;14;69
Cuba;11684;13;10790;18;612;23117
Cyprus;7;1;3;5;5;21
Czech Republic;59;7;18;28;6;118
Denmark;63;2;7;19;6;97
Djibouti;22;0;14;1;77;114
Dominica;97;0;145;8;1;251
Dominican Republic;20214;32;12918;53;0;33217
Ecuador;1880;23;4225;116;160;6404
Egypt;2271;35;629;265;2093;5293
El Salvador;4762;32;10273;195;0;15262
Equatorial Guinea;4;0;2;0;0;6
Eritrea;326;17;150;37;57;587
Estonia;18;1;1;4;10;34
Eswatini;4;1;1;5;0;11
Ethiopia;2020;31;1509;140;595;4295
Fiji;73;10;270;6;537;896
Finland;39;7;2;7;12;67
France;304;33;171;174;99;781
Gabon;14;0;14;1;18;47
